logn, /results594, 5927, 2
nlogn, /results594, 6180, 1
logn, /results594, 5927, 7
nlogn, /results594, 6180, 2
logn, /results594, 5927, 1
nlogn, /results594, 6180, 3
logn, /results594, 5927, 5
nlogn, /results594, 6180, 4
logn, /results594, 5927, 6
nlogn, /results594, 6180, 5
logn, /results594, 5927, 5
nlogn, /results594, 6180, 2
logn, /results594, 5927, 7
nlogn, /results594, 6180, 6
logn, /results594, 5927, 9
nlogn, /results594, 6180, 6
logn, /results594, 5927, 5
nlogn, /results594, 6180, 3
logn, /results594, 5927, 4
nlogn, /results594, 6180, 4
logn, /results594, 5927, 5
nlogn, /results594, 6180, 5
logn, /results594, 5927, 3
nlogn, /results594, 6180, 3
logn, /results594, 5927, 7
nlogn, /results594, 6180, 5
logn, /results594, 5927, 5
nlogn, /results594, 6180, 6
logn, /results594, 5927, 3
nlogn, /results594, 6180, 5
logn, /results594, 5927, 9
nlogn, /results594, 6180, 4
logn, /results594, 5927, 6
nlogn, /results594, 6180, 4
logn, /results594, 5927, 8
nlogn, /results594, 6180, 7
logn, /results594, 5927, 4
nlogn, /results594, 6180, 7
logn, /results594, 5927, 9
nlogn, /results594, 6180, 6
logn, /results594, 5927, 7
nlogn, /results594, 6180, 5
logn, /results594, 5927, 6
nlogn, /results594, 6180, 8
logn, /results594, 5927, 6
nlogn, /results594, 6180, 6
logn, /results594, 5927, 4
nlogn, /results594, 6180, 5
logn, /results594, 5927, 4
nlogn, /results594, 6180, 6
logn, /results594, 5927, 8
nlogn, /results594, 6180, 4
logn, /results594, 5927, 7
nlogn, /results594, 6180, 3
logn, /results594, 5927, 3
nlogn, /results594, 6180, 7
logn, /results594, 5927, 9
nlogn, /results594, 6180, 8
logn, /results594, 5927, 6
nlogn, /results594, 6180, 8
logn, /results594, 5927, 10
nlogn, /results594, 6180, 6
logn, /results594, 5927, 9
nlogn, /results594, 6180, 4
logn, /results594, 5927, 6
nlogn, /results594, 6180, 6
logn, /results594, 5927, 9
nlogn, /results594, 6180, 6
logn, /results594, 5927, 5
nlogn, /results594, 6180, 7
logn, /results594, 5927, 2
nlogn, /results594, 6180, 6
logn, /results594, 5927, 3
nlogn, /results594, 6180, 7
logn, /results594, 5927, 8
nlogn, /results594, 6180, 8
logn, /results594, 5927, 6
nlogn, /results594, 6180, 8
logn, /results594, 5927, 9
nlogn, /results594, 6180, 6
logn, /results594, 5927, 8
nlogn, /results594, 6180, 5
logn, /results594, 5927, 4
nlogn, /results594, 6180, 5
logn, /results594, 5927, 6
nlogn, /results594, 6180, 9
logn, /results594, 5927, 7
nlogn, /results594, 6180, 8
logn, /results594, 5927, 5
nlogn, /results594, 6180, 7
logn, /results594, 5927, 7
nlogn, /results594, 6180, 7
logn, /results594, 5927, 6
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 8
logn, /results594, 5927, 9
nlogn, /results594, 6180, 8
logn, /results594, 5927, 7
nlogn, /results594, 6180, 7
logn, /results594, 5927, 7
nlogn, /results594, 6180, 5
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 7
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 4
nlogn, /results594, 6180, 10
logn, /results594, 5927, 8
nlogn, /results594, 6180, 5
logn, /results594, 5927, 6
nlogn, /results594, 6180, 9
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 5
logn, /results594, 5927, 10
nlogn, /results594, 6180, 10
logn, /results594, 5927, 8
nlogn, /results594, 6180, 6
logn, /results594, 5927, 5
nlogn, /results594, 6180, 6
logn, /results594, 5927, 8
nlogn, /results594, 6180, 7
logn, /results594, 5927, 4
nlogn, /results594, 6180, 7
logn, /results594, 5927, 3
nlogn, /results594, 6180, 7
logn, /results594, 5927, 8
nlogn, /results594, 6180, 6
logn, /results594, 5927, 6
nlogn, /results594, 6180, 7
logn, /results594, 5927, 8
nlogn, /results594, 6180, 9
logn, /results594, 5927, 7
nlogn, /results594, 6180, 7
logn, /results594, 5927, 8
nlogn, /results594, 6180, 7
logn, /results594, 5927, 8
nlogn, /results594, 6180, 10
logn, /results594, 5927, 9
nlogn, /results594, 6180, 7
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 9
nlogn, /results594, 6180, 7
logn, /results594, 5927, 9
nlogn, /results594, 6180, 10
logn, /results594, 5927, 9
nlogn, /results594, 6180, 10
logn, /results594, 5927, 8
nlogn, /results594, 6180, 8
logn, /results594, 5927, 8
nlogn, /results594, 6180, 6
logn, /results594, 5927, 4
nlogn, /results594, 6180, 11
logn, /results594, 5927, 6
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 6
logn, /results594, 5927, 8
nlogn, /results594, 6180, 8
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 10
logn, /results594, 5927, 6
nlogn, /results594, 6180, 10
logn, /results594, 5927, 7
nlogn, /results594, 6180, 8
logn, /results594, 5927, 7
nlogn, /results594, 6180, 12
logn, /results594, 5927, 8
nlogn, /results594, 6180, 7
logn, /results594, 5927, 6
nlogn, /results594, 6180, 10
logn, /results594, 5927, 8
nlogn, /results594, 6180, 11
logn, /results594, 5927, 10
nlogn, /results594, 6180, 10
logn, /results594, 5927, 10
nlogn, /results594, 6180, 8
logn, /results594, 5927, 9
nlogn, /results594, 6180, 7
logn, /results594, 5927, 10
nlogn, /results594, 6180, 8
logn, /results594, 5927, 8
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 10
logn, /results594, 5927, 9
nlogn, /results594, 6180, 10
logn, /results594, 5927, 8
nlogn, /results594, 6180, 10
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 9
nlogn, /results594, 6180, 10
logn, /results594, 5927, 9
nlogn, /results594, 6180, 6
logn, /results594, 5927, 9
nlogn, /results594, 6180, 10
logn, /results594, 5927, 9
nlogn, /results594, 6180, 8
logn, /results594, 5927, 6
nlogn, /results594, 6180, 6
logn, /results594, 5927, 8
nlogn, /results594, 6180, 7
logn, /results594, 5927, 9
nlogn, /results594, 6180, 11
logn, /results594, 5927, 9
nlogn, /results594, 6180, 11
logn, /results594, 5927, 7
nlogn, /results594, 6180, 10
logn, /results594, 5927, 10
nlogn, /results594, 6180, 12
logn, /results594, 5927, 7
nlogn, /results594, 6180, 7
logn, /results594, 5927, 9
nlogn, /results594, 6180, 11
logn, /results594, 5927, 7
nlogn, /results594, 6180, 7
logn, /results594, 5927, 6
nlogn, /results594, 6180, 9
logn, /results594, 5927, 7
nlogn, /results594, 6180, 8
logn, /results594, 5927, 9
nlogn, /results594, 6180, 9
logn, /results594, 5927, 8
nlogn, /results594, 6180, 8
logn, /results594, 5927, 5
nlogn, /results594, 6180, 11
logn, /results594, 5927, 10
nlogn, /results594, 6180, 9
logn, /results594, 5927, 7
nlogn, /results594, 6180, 4
logn, /results594, 5927, 10
nlogn, /results594, 6180, 8
logn, /results594, 5927, 7
nlogn, /results594, 6180, 9
logn, /results594, 5927, 10
nlogn, /results594, 6180, 10
logn, /results594, 5927, 9
nlogn, /results594, 6180, 9
logn, /results594, 5927, 10
nlogn, /results594, 6180, 8
logn, /results594, 5927, 9
nlogn, /results594, 6180, 11
logn, /results594, 5927, 8
nlogn, /results594, 6180, 11
logn, /results594, 5927, 6
nlogn, /results594, 6180, 10
logn, /results594, 5927, 6
nlogn, /results594, 6180, 9
